FACILITY_TYPE,EXTERNAL_FACILITY_ID,FACILITY_NAME,SHORT_NAME,DESCRIPTION,LAT_MIN,LAT_MAX,LON_MIN,LON_MAX,METRIC:MMI:GREEN,METRIC:MMI:YELLOW,METRIC:MMI:RED,ATTR:CD,ATTR:Main,ATTR:TBMPage
"STRUCTURE","100612","SHELDON-ARLETA PARK","","12050  SHELDON ST---ARLETA---91352",34.238215,34.238215,-118.394965,-118.394965,1,5,7,7,ND,532E1
"STRUCTURE","100613","LANDSCAPE MEDIAN ISLAND","","12055  VALLEY HEART DR---STUDIO CITY---91604",34.147571,34.147571,-118.394633,-118.394633,1,5,7,0,ND,
"STRUCTURE","100614","GAY-LESBIAN SERVICE CENTER","","1206  CITRUS AV---LOS ANGELES---90019",34.052941,34.052941,-118.342479,-118.342479,1,5,7,13,SD,633D4
"STRUCTURE","100615","FIRE STATION #13","","1206 S VERMONT AV---LOS ANGELES---90006",34.048791,34.048791,-118.291444,-118.291444,1,5,7,1,SD,63434
"STRUCTURE","100616","FIRE STATION #13","","1206 S VERMONT AV---LOS ANGELES---90006",34.048791,34.048791,-118.291444,-118.291444,1,5,7,1,SD,634A4
"STRUCTURE","100617","FIRE STATION #13","","1206 S VERMONT AV---LOS ANGELES---90006",34.048791,34.048791,-118.291444,-118.291444,1,5,7,1,SD,634A4
"STRUCTURE","100618","MOORPARK PARK","","12061  MOORPARK ST---STUDIO CITY---91607",34.150444,34.150444,-118.395562,-118.395562,1,5,7,2,ND,562G4
"STRUCTURE","100619","LANDSCAPE MEDIAN ISLAND","","12077  SAN VICENTE BL---LOS ANGELES---90049",34.052123,34.052123,-118.474309,-118.474309,1,5,7,0,,
"STRUCTURE","100620","HOLLENBECK POLICE STATION","","121 N CHICAGO ST---BOYLE HEIGHTS---90033",34.045279,34.045279,-118.21216,-118.21216,1,5,7,14,SD,635A5
"STRUCTURE","100621","LANDSCAPE MEDIAN ISLAND","","12100  SAN VICENTE BL---LOS ANGELES---90049",34.051707,34.051707,-118.474528,-118.474528,1,5,7,0,,
"STRUCTURE","100622","LANDSCAPE MEDIAN ISLAND","","12109  VENICE BL---LOS ANGELES---90066",34.005597,34.005597,-118.43045,-118.43045,1,5,7,0,SD,672A5
"STRUCTURE","100623","HANSEN DAM GOLF COURSE/PARK","","12110  OSBORNE PL---SUN VALLEY---91331",34.26185,34.26185,-118.398919,-118.398919,1,5,7,7,ND,502G4
"STRUCTURE","100624","DWP PALMETTO CONSTRUCTION HEADQUARTERS","","1212  PALMETTO ST---LOS ANGELES---90013",34.040039,34.040039,-118.235278,-118.235278,1,5,7,634H5
"STRUCTURE","100625","TENANT: WATTS LABOR COMMUNITY ACTION COMMITTEE","","1212 E 108TH ST---WATTS---90059",33.937687,33.937687,-118.253615,-118.253615,1,5,7,15,SD,704E4
"STRUCTURE","100626","NON-STRUCTURAL SERVICE","","12120  SHERMAN WY---NORTH HOLLYWOOD---91605",34.200545,34.200545,-118.397351,-118.397351,1,5,7,0,ND,
"STRUCTURE","100627","HOLLEIGH BERNSON MEMORIAL PARK","","12126 1/2 PORTER RANCH DR---PORTER RANCH---91326",34.28688,34.28688,-118.570539,-118.570539,1,5,7,12,ND,480H7
"STRUCTURE","100628","GAY-LESBIAN SERVICE CENTER - AGENCY ADDRESS","","1213 N HIGHLAND AV---HOLLYWOOD---90038",34.092935,34.092935,-118.338778,-118.338778,1,5,7,4,SD,593E4
"STRUCTURE","100629","LANDSCAPE MEDIAN ISLAND","","1214  VENICE BL---VENICE---90291",33.994796,33.994796,-118.45079,-118.45079,1,5,7,0,SD,672A5
"STRUCTURE","100630","LANDSCAPE MEDIAN ISLAND","","12141  SAN VICENTE BL---BRENTWOOD---90049",34.051981,34.051981,-118.475004,-118.475004,1,5,7,0,SD,631D6
